Song,Artist,Lyrics
Chihiro,['Billie Eilish'],"
To take my love away
When I come back around, will I know what to say?
Said you won't forget my name
Not today, not tomorrow
Kinda strange, feelin' sorrow
I got change , you could borrow 
When I come back around, will I know what to say?
Not today, maybe tomorrow

Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?

Did you take
My love away
From me? Me
Me

Saw your seat at the counter when I looked away
Saw you turn around, but it wasn't your face
Said, ""I need to be alone now, I'm takin' a break""
How come when I rеturned, you were gonе away?

I don't, I don't know why I called
I don't know you at all
I don't know you
Not at all
I don't, I don't know why I called
I don't know you at all
I don't know you

Did you take
My love away
From me? Me

And that's when you found me

I was waitin' in the garden
Contemplatin', beg your pardon
But there's a part of me that recognizes you
Do you feel it too?
When you told me it was serious
Were you serious? Mm
They told me they were only curious
Now it's serious, mm

Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?

Wringing my hands in my lap
And they tell me it's all been a trap
And you don't know if you'll make it back
I said, ""No, don't say that""









Hm-hm"
Yellow,['Coldplay'],"
KSR
It's Cardi, ayy
Said I'm the shit, they can't fuck with me if they wanted to
I don't gotta dance

Said, ""Lil' bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves 
Say I don't gotta dance, I make money move
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves

Now she say she gon' do what to who? Let's find out and see
Cardi B, you know where I'm at, you know where I be
You in the club just to party, I'm there, I get paid a fee
I be in and out them banks so much, I know they're tired of me
Honestly, don't give a fuck 'bout who ain't fond of me
Dropped two mixtapes in six months
What bitch working as hard as me?
I don't bother with these hoes, don't let these hoes bother me
They see pictures, they say, ""Goals,"" bitch, I'm who they tryna be
Look, I might just chill in some BAPE
I might just chill with your boo, I might just feel on your babe
My pussy feel like a lake
He wanna swim with his face, I'm like, ""Okay""
I'll let him get what he want, he buy me Yves Saint Laurent
And the new whip, when I go fast as a horse
I got the trunk in the front 
I'm the hottest in the street, know you prolly heard of me
Got a bag and fixed my teeth, hope you hoes know it ain't cheap
And I pay my mama bills, I ain't got no time to chill
Think these hoes be mad at me, their baby father run a bill

Said, ""Lil' bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves
Say I don't gotta dance, I make money moves
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves

If you a pussy, you get popped, you a goofy, you a opp
Don't you come around my way, you can't hang around my block
And I just checked my accounts, turns out, I'm rich, I'm rich, I'm rich
I put my hand above my hip, I bet you dip, he dip, she dip
I say I get the money and go, this shit is hot like a stove
My pussy glitter is gold, tell that lil' bitch play her role
I just arrove in a Rolls, I just came up in a Wraith
I need to fill up the tank, no, I need to fill up the safe
I need to let all these hoes know that none of their niggas is safe
I go to dinner and steak, only the real can relate
I used to live in the P's, now it's a crib with a gate
Rollie got charms, look like Frosted Flakes
Had to let these bitches know, just in case these hoes forgot
I just run and check the mail, another check from Mona Scott

Said, ""Lil' bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves
Say I don't gotta dance, I make money move
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves"
Die For You,"['The Weeknd', 'Ariana Grande']","
I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you 
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah 

I'm findin' ways to manipulate the feelin' you're goin' through
But, baby girl, I'm not blamin' you
Just don't blame me, too, yeah
'Cause I can't take this pain forever
And you won't find no one that's better
'Cause I'm right for you, babe
I think I'm right for you, babe

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you, uh
Baby, I would die for you, yeah

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah 

"
Fairytale Of New York,"['The Pogues', 'Kirsty MacColl']","
It was Christmas Eve, babe
In the drunk tank
An old man said to me
""Won't see another one""
And then he sang a song
'The Rare Old Mountain Dew'
I turned my face away
And dreamed about you
Got on a lucky one
Came in eighteen-to-one
I've got a feeling
This year's for me and you
So, Happy Christmas
I love you, baby
I can see a better time
When all our dreams come true

They've got cars big as bars, they've got rivers of gold
But the wind goes right through you, it's no place for the old
When you first took my hand on a cold Christmas Eve
You promised me Broadway was waiting for me
You were handsome
, 
you were pretty, queen of New York City
When the band finished playing, they howled out for more
Sinatra was swinging
, all the drunks, they were singing
We kissed on a corner, then danced through the night

The boys of the NYPD choir
 
were singing ""Galway Bay""
And the bells were ringing out for Christmas Day

You're a bum, you're a punk, 
you're an old slut on junk
Lying there almost dead on a drip in that bed
You scumbag, you maggot, 
you cheap, lousy faggot
Happy Christmas, your arse,
 
I pray God it's our last

The boys of the NYPD choir,
 
still singing ""Galway Bay""
And the bells are ringing out for Christmas Day

""I could have been someone"", 
well, so could anyone
You took my dreams from me when I first found you
I kept them with me, babe, I put them with my own
Can't make it all alone, I've built my dreams around you

The boys of the NYPD choir,
 
still singing ""Galway Bay""
And the bells are ringing out for Christmas Day"
That's What I Like,['Bruno Mars'],"
Ayy, ayy, ayy
I got a condo in Manhattan
Baby girl, what's happenin'?
You and your ass invited
So go on and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami 
Wake up with no jammies 
Lobster tail for dinner
Julio, serve that scampi 
You got it if you want it
Got, got it if you want it
Said, you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico 
Say the word and we go 
You can be my freaka 
Girl, I'll be your fleeko, Mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' ever leave
Shoppin' sprees in Paris
Everything 24 karats
Take a look in that mirror
Now, tell me, who's the fairest?
Is it you? 

 Is it me? 

Say it's us 

 and I'll agree, baby

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

You say you want a good time
Well, here I am, baby, here I am, baby
Talk to me, talk to me, talk to me, baby
Tell me, what's on your mind? 
If you want it, girl, come and get it
All this is here for you
Tell me, baby, tell me, tell me, baby
What you tryna do?

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like 
Lucky for you, that's what I like, that's what I like 
Sex by the fire at night
Silk sheets and diamonds all white 
Lucky for you, that's what I like, that's what I like 
Lucky for you, that's what I like, that's what I like "
"Let It Snow, Let It Snow, Let It Snow!",['Frank Sinatra With The B. Swanson Quartet'],"
Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stopping
And I've brought me some corn for popping
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm

And the fire is slowly dying
And, my dear, we're still goodbyeing
But as long as you love me so
Let it snow, let it snow, and snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really grab me tight
All the way home I'll be warm

Oh, the fire is slowly dying
And, my dear, we're still goodbyeing
But as long as you love me so
Let it snow, let it snow, let it snow"
FE!N,"['Travis Scott', 'Playboi Carti']","
Work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Dry, me ah desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me, you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been, mm
But I wake up and act like nothing's wrong

Just get ready fi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When you ah guh learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn

Beg you something, please
Baby, don't you leave
Don't leave me stuck here in the streets, uh-huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe

I haffi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting 

You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you 
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I 
know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh 
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward

And give me all the work, work, work, work, work
, work
He said me haffi 
work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Mm
Mm
Work, work, work, work, work, work
Mm

"
Just The Way You Are,['Bruno Mars'],"
Oh, oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh

Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful, uh
And I tell her every day
Yeah, I know, I know, when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah

Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh, she hates, but I think it's so sexy
She's so beautiful, uh
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother askin' if you look okay
You know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah"
Viva La Vida,['Coldplay'],"
I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string 
Aw, who would ever wanna be king?

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh


Hear Jerusalem bells a-ringin'

Roman cavalry choirs are singin'

Be my mirror, my sword and shield

My missionaries in a foreign field

For some reason, I can't explain

I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm"
Kill Bill,['SZA'],"
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should

I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
This text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crime of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement plannin' home invasion
Now you layin' face-down, got me singin' over a beat

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will

I might 
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love 
I did it all on no drugs 
I did all of this sober
I did it all for us, oh
I did it all for love 
I did all of this on no drugs 
I did all of this sober
Don't you know I did it all for us? 

Oh, I just killed my ex , not the best idea 
Killed his girlfriend next, how'd I get here? 
I just killed my ex , I still love him though 
Rather be in Hell than alone"
Rudolph The Red-Nosed Reindeer,"['Gene Autry', 'The Pinafores']","You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid
And Donner and Blitzen
But do you recall
The most famous reindeer of all?
Rudolph the red-nosed reindeer

Had a very shiny nose

And if you ever saw it

You would even say it glows

All of the other reindeer

Used to laugh and call him names

They never let poor Rudolph

Play in any reindeer games

Then one foggy Christmas Eve
Santa came to say

Rudolph with your nose so bright
Won't you guide my sleigh tonight?
Then how the reindeer loved him

As they shouted out with glee

""Rudolph the red-nosed reindeer

You'll go down in history!""
"
Hot To Go!,['Chappell Roan'],"
Five, six
Five, six, seven, eight

I could be the one, or your new addiction
It's all in my head, but I want non-fiction
I don't want the world, but I'll take this city
Who can blame a girl? 
Call me hot, not pretty

Baby, do you like this beat?
I made it so you'd dance with me
It's like a hundred ninety-nine degrees
When you're doing it with me, doing it with me

H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O

H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

Well, I woke up alone staring at my cеiling
I try not to care, but it hurts my feelings
You don't have to stare, comе here, get with it
No one's touched me there in a damn hot minute

And baby, don't you like this beat?
I made it so you'd sleep with me
It's like a hundred ninety-nine degrees
When you're doing it with me, doing it with me

H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O

H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

What's it take to get your number?
What's it take to bring you home?
Hurry up, it's time for supper
Order up, I'm hot to go
What's it take to get your number?
Hurry up, it's getting cold
Hurry up, it's time for supper
Order up, I'm hot to go

H-O-T-T-O-G-O
You can take me hot to go 
H-O-T-T-O-G-O
You can take me hot to go 
H-O-T-T-O-G-O
You can take me hot to go 
H-O-T-T-O-G-O
You can take me hot to go

Whew, it's hot in here
Is anyone else hot?
Woo, you coming home with me?
Okay, that's hot
I'll call the cab"
Love Somebody,['Morgan Wallen'],"
Rumors goin' all over town
Can't keep my name out they mouth these days
Yeah, they say
I live too fast to settle down
Truth is I just ain't about these games
They all play

Wanna find
Somethin' stronger than the whiskey
And oh, I've tried
But every time I feel her kiss me, I keep comin' up empty, yeah

I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somе-

​-Body who ain't hypnotized
By dollar signs and blindin' lights
Like they tеnd to be, yeah
I need someone that I'd be proud
To take on back to my hometown
Honest eyes that just ain't gonna lead

To lonely nights
Even when she's up against me
I don't know why
It feels like there's nobody with me
And I'm still empty, yeah

I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somebody


I just wanna love somebody 
I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somebody"
I Wanna Be Yours,['Arctic Monkeys'],"
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion 
Hold your hair in deep devotion 
At least as deep as the Pacific Ocean
I wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

I wanna be your vacuum cleaner 
Breathin' in your dust 
I wanna be your Ford Cortina 
I will never rust 
I just wanna be yours 
I just wanna be yours 
I just wanna be yours "
Iris,['Goo Goo Dolls'],"
And I'd give up forever to touch you
'Cause I know that you feel me somehow
You're the closest to heaven that I'll ever be
And I don't wanna go home right now

And all I could taste is this moment
And all I can breathe is your life
And sooner or later, it's over
I just don't wanna miss you tonight

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am


And you can't fight the tears that ain't coming
Or the moment of truth in your lies
When everything feels like the movies
Yeah, you bleed just to know you're alive

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am


And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

I just want you to know who I am
I just want you to know who I am
I just want you to know who I am"
Flowers,['Miley Cyrus'],"
I took the supermarket flowers from the windowsill
I threw the day old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get well soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But mum, there's a tear every time that I blink

Oh, I'm in pieces, it's tearing me up, but I know
A heart that's broke is a heart that's been loved

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""

I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John says he'd drive then put his hand on my cheek
And wiped a tear from the side of my face

And I hope that I see the world as you did 'cause I know
A life with love is a life that's been lived

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""






Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back
He said, ""Hallelujah, you're home"""
Si No Es Contigo,['Cris Mj'],"



Si no e' contigo, amor
Yo no quiero a nadie má' 
Tú na' má' tiene' lo que a mí me encanta
Gata, aprovechémono'
Mamita, casémono'
Qué rico te queda ese pijama

Mami, qué rico te queda
Pantycito rojo que a mí me modela
La jalo del pelo, le doy lo que quiera 
Conmigo está ready, le compro Bottega
Me quiero perderme en ti como me pierdo con las picky 
Ma, tú está' riqui , la má' dura de mi city
Que yo quiero sentir lo que con otra no existe 
Ma, dime qué me hiciste, no' miramo' y dijiste 

Si no e' contigo, amor
Yo no quiero a nadie má' 
Tú na' má' tiene' lo que a mí me encanta
Gata, aprovechémono'
Mamita, casémono' 
Qué rico te queda ese pijama

Aprovéchame, mami, fléchame
Tómame 'e rehén , haga lo que quiere 
Todo te queda bien, le compré las flore'
Si son más de tres cien con olor a Chanel
Chica, báilame, perréame
Que yo quiero perderme en tu piel, bebé
¿Te va' a hacer? Si ere' mi reina y yo tu rey

Si no e' contigo, amor
Yo no quiero a nadie má'
Tú na' má' tiene' lo que a mí me encanta 
Gata, aprovechémono' 
Mamita, casémono' 
Qué rico te queda ese pijama








"
Another Love,['Tom Odell'],"
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, 
but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart

And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh



I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up"
Whatchu Kno About Me,"['GloRilla', 'Sexyy Red']","
GloRilla
It's Glo the motherfuckin’ P, y'all know what the fuck goin' on 
 On the gang, gang
 On the gang, gang

Bitch, I’m from Memphis, what you know about me?
Big G-L-O in that GLE
Fifty thousand, new Chanel shopping spree
And every time I pop it out, you know I A-T-E 
I'm that bitch, ho, get like me
You know it's 
YWR
, big CMG 
Small niggas, tall niggas, long paper, no small figures
Fifty bitches, all pretty, and we all litty 

I'm wearin' booty shorts , 'cause my paper long 
It's a Friday night , my nigga ain’t at home 
I pour my bitches shots , 'cause I don’t drink alone 
I'm outside again , 'cause, bitch, I hate at home 

It’s giving hair, face, ass, titties 
Hair, face, ass, titties 
It's giving hair, face, ass, titties 
Hair, face, ass, titties  

S-S-E-X-Y-Y-R-E-D 
You play with me, I put a pot hole in your teeth 
I-I-I'm with my peoples, and we comin' fifty deep
Ye ain't know I was a hitta 'cause I'm always lookin' fleek 
C-C-Cash out new ball, AMG
Outside bubble gum with some bloody red seat , yoom
I-I like ratchet bitches twerkin' to the beat 
If you hear this song playin', shake that ass for Glo and me 

I'm wearin' booty shorts , 'cause my paper long 
It's a Friday night , my nigga ain't at home 
I pour my bitches shots , 'cause I don't drink alone 
I'm outside again , 'cause, bitch, I hate at home 

It's giving hair, face, ass, titties 
Hair, face, ass, titties 
It's giving hair, face, ass, titties 
Hair, face, ass, titties 

Coochie drive 'em crazy, CDC
He a dog for the pussy, and you know I got the treat
Private entry through the club, fuck a fee
Bitch play with gang tonight, her face goin' on a tee 
Bad bitch, you know I'm thick as Coachella
You won't never catch me slippin', I ain't no fuckin' Cinderella 
Glo the P, and the P stand for poppin'
Neck on faucet, do my dance on them bitches since they watchin' 

I'm wearin' booty shorts , 'cause my paper long 
It's a Friday night , my nigga ain't at home 
I pour my bitches shots , 'cause I don't drink alone 
I'm outside again , 'cause, bitch, I hate at home 

It's giving hair, face, ass, titties 
Hair, face, ass, titties 
It's giving hair, face, ass, titties 
Hair, face, ass, titties "
Riptide,['Vance Joy'],"
I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turnin' green
You're the magician's assistant in their dream

Oh-ooh, oh-oh
And they come unstuck

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's runnin' from himself
And she's been livin' on the highest shelf

Oh-ooh, oh-oh
And they come unstuck

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you, when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Oh lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong, yeah
I got a lump in my throat 'cause
You're gonna sing the words wrong"
